Link to Post,Source,Comments,Labels,processed_comments
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1090309724778386/?anchor_composer=false&refid=18&_ft_=qid.6941467511697455894%3Amf_story_key.1090309724778386%3Atop_level_post_id.1090309724778386%3Atl_objid.1090309724778386%3Acontent_owner_id_new.100053352694039%3Apage_id.867119693764058%3Atext_formatting.1271157196337260%3Asrc.22%3Astory_location.6%3Afilter.GroupStoriesByActivityEntQuery%3Atds_flgs.3%3Aott.AX9DH_pC5x6BzxiU&__tn__=%2AW-R,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Judex Sutrooghen dapres lordre to em en charge loka Roche noir,1,judex sutrooghen dapres lordre to em charge loka roche noir
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091978571278168/?anchor_composer=false&refid=18&_ft_=qid.6941468065731622330%3Amf_story_key.1091978571278168%3Atop_level_post_id.1091978571278168%3Atl_objid.1091978571278168%3Acontent_owner_id_new.100060360696812%3Apage_id.867119693764058%3Atext_formatting.146487026137131%3Asrc.22%3Astory_location.6%3Afilter.GroupStoriesByActivityEntQuery%3Atds_flgs.3%3Aott.AX_m_xffl5PgHlBr&__tn__=%2AW-R,RadioPlusMauritiusIleMauriceFanGroupUnofficial,souce la grain la.,1,souce graine
https://m.facebook.com/story.php?story_fbid=10159335762834540&id=100761789539&anchor_composer=false&__tn__=%2AW-R,Lexpress,Camion la pa souvent sa kit foi en 1 mois n foi humain mem sa non mo pa compren ene peuple adorable coumsa p pass miser eh zot dominer apel sa oubien si ou le apel sa get 2 lizie parski pa tou rodriguais ki pena dilo aret fer dominer ar ti dimun la vie n karma sa,0,camion souvent kit foi mois foi humain mem non compren peuple adorable coumsa pass miser eh dominer apel oubien apel get lizie parski tou rodriguais ki pena dilo aret dominer ar dimun vie karma
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1042890612883387/?anchor_composer=false&ref=content_filter&__xts__%5B0%5D=12.AbpK7uDBDXHYXGk8gHVj2F-j4sSza7WPibGCiOR6kmKtt_ul3GAI42gr_OENXZiwzfotaNiZ8gb9OVPFI5fAZXNhrlraRW750-Ql7BVtSkmsfR8rX3wpRV9VB1bnnq01iJN2djvckC3uMQ74t510C_9G9WiTZx0h6jHCIf3q6zfVmBIxd20eoFpkaT2vjyMhS7uTo3wZyVlhFc8z-kZvgOS9iA8DqanUFcaOE1Hn6DVK9iH0qk_gsIYiR85X9W6Bl_cSept-1QPM1zLJAcRNOLN8HBp2JshNn-QrVF7l1Da9LQZb5UVFHdf65bFc9c5f1hEvjkjp421KNcQaHI4p4dCGKPm-Ju2Z3gMWg_oC7vXJQZguPpudxPbHi-aCsLrvtQg,PRENDCOMPTELEPEP,Abé zot manz dan mem lassiette,0,abé manz mem lassiette
https://m.facebook.com/story.php?story_fbid=10159335762834540&id=100761789539&anchor_composer=false&__tn__=%2AW-R,Lexpress,Plan de dessalement.. C ouuu???? 🤔 🤔 🤔 🤔,0,plan dessalement c ouuu
https://m.facebook.com/story.php?story_fbid=4134741799922145&id=108299339233098&anchor_composer=false&__tn__=%2AW-R,Defimedia,"Padiachy Navin astère zotte souffert kan tou ti korect zotte ti p faire dominère avec consomateur vanne zotte fruit pli cher e zotte plaigné. Si zordi nou p arrivé ene situation pareille tou sa la a cause banne dimoune coumsa même toujour rode faire Di tort zotte prochain. Tou commerce koumsa même, prix monter kan demande zotte zotte dire à koze kovid e avan zotte dire euro ou livre sterlin inn monter. Dire MRA allé faire ene lenkett lor zotte revenu. Zordi marsan dholl puri /farata/pomme de terre/oignon millionaire e zotte gagne toupet vinne dire situation dan baize.",0,padiachy navin astère souffert kan tou korect dominère avek consomateur vanne fruit pli cher plaigné zordi nous arrivé situation pareille tou cause bann dimoune coumsa même toujour rode di tort prochain tou commerce koumsa même pri monter kan demande dire à koze kovid avan dire euro livre sterlin inn monter dire mra allé lenkett lor revenu zordi marsan dholl puri farata pomme terre oignon millionaire gagne toupet vinne dire situation baize
https://m.facebook.com/story.php?story_fbid=4134741799922145&id=108299339233098&anchor_composer=false&__tn__=%2AW-R,Defimedia,Ya Aaz non li deja wadir fruit sec kt aziim bhai la 🤣,0,ya aaz non deja wadir fruit sec kt aziim bhai
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1056866194819162/?anchor_composer=false&ref=content_filter&__xts__%5B0%5D=12.Abr03eSsJIuhOBxgSwlNTYnR6_vZKO2QT9k2K09XoTZkplk0w4n0YY2NyNTeG-bVpoQR34u9Cuz2IzwmfWAvpPsSwUTr3NrBfbwPwL3-aojFT3JtChDjqWwYHB31Z1YINTaNPelrpR_fT9HdSALqHRcusCmWatLLZzPnic2EqwH8K1GMHO4L9EjSnBVqXn3hmkXkf_ItFaHqQm7RASEhY7l6xwmafq1SG05gDmNYficgin0qCeMHS-mZLtSPolkoJeeYVSXBrR0Rq6Mq9Mwcu8xbcdGl-0uwHuAR1S7RM7z6VWixFBqg_sPeYWizslZ8KYraujuYXfBB6JzWD2yLemKBWRHAoAS3gDQ0AAgbftuRNJN_f5EH7ipE71Ps20RknWo,PRENDCOMPTELEPEP,Bien dir sa zom li pou la grand fami 👪 MAURICIEN 🇲🇺 pa pou kit plock so mama ou mari so mama,1,byin dir zom gran fami mauricien kit plock mama mari mama
https://m.facebook.com/story.php?story_fbid=4134741799922145&id=108299339233098&anchor_composer=false&__tn__=%2AW-R,Defimedia,Heeyyy mone fek aste demie liv lalo 35 rs.......la.....ki to p rode....,0,heeyyy mone fek aste demie liv lalo 35 rs ki to rode
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1090628274746531/?anchor_composer=false&refid=18&_ft_=qid.6941468383557116233%3Amf_story_key.1090628274746531%3Atop_level_post_id.1090628274746531%3Atl_objid.1090628274746531%3Acontent_owner_id_new.100053352694039%3Apage_id.867119693764058%3Atext_formatting.518596398537417%3Asrc.22%3Astory_location.6%3Afilter.GroupStoriesByActivityEntQuery%3Atds_flgs.3%3Aott.AX_18I7ojUY3uWcc&__tn__=%2AW-R,RadioPlusMauritiusIleMauriceFanGroupUnofficial,T payé combien pour dire ça???,0,to payé combien dire ça
https://m.facebook.com/story.php?story_fbid=10159327255709540&id=100761789539&anchor_composer=false&__tn__=%2AW-R,Lexpress,Jaime tous se ceke vous ve pour nou arsam nou pou bat coranavuris et covid 19. ok singe ciara mascarine.,1,jaime tous se ceke vous ve nous arsam nous bat coranavuris covid-19 19 ok singe ciara mascarine
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,"Hell Heaven ayo ala ene couyon ki content declare malin. Sa mo bizin explik ou mem sa pou ki ou capave compran. Mone dire nu pas content nek cozer, nou bannes dimounes d'actions, a aucun moment mo bannes dire ki mo muet. Apre pou ou 'general information' bannes personnes ki pa conne cozer, zot capave lire ecrire sa dow... Croire moi mo p dire ou. Alle verifier dans bannes ecoles sourdes e muets montrer lire e ecrire tou. Mo sure si ou pou alle verifier ou pou vine remercier moi parski oune resi apran ene nouvo zafer grace a moi.",1,hell heaven ayo ala couyon ki content declare malin bizin explik mem ki capave compran mone dire nou content nek cozer nous bannes dimounes actions aucun moment bannes dire ki muet apre general information bannes personnes ki conne cozer capave lire ecrire dow croire mwa dire alle verifier bannes ecoles sourdes muets montrer lire ecrire tou sure alle verifier vinn remercier mwa parski oune resi apran nouvo zafer grace mwa
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1090309724778386/?anchor_composer=false&refid=18&_ft_=qid.6941467511697455894%3Amf_story_key.1090309724778386%3Atop_level_post_id.1090309724778386%3Atl_objid.1090309724778386%3Acontent_owner_id_new.100053352694039%3Apage_id.867119693764058%3Atext_formatting.1271157196337260%3Asrc.22%3Astory_location.6%3Afilter.GroupStoriesByActivityEntQuery%3Atds_flgs.3%3Aott.AX9DH_pC5x6BzxiU&__tn__=%2AW-R,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Ou ena grand courage pou met n poste aussi stupide... A cause zot negligence c le PEP ki p besoin paye consequence. My foot Pinok.,0,ena gran courage met poste aussi stupide cause negligence c pep ki besoin paye consequence my foot pinok
https://m.facebook.com/story.php?story_fbid=10159336076559540&id=100761789539&anchor_composer=false&__tn__=%2AW-R,Lexpress,Moi mo dir beaucoup signe bondié p envoyer pa preser pou ena la lumière ki pou fer la justice triomphé 🙏,0,mwa dir beaucoup signe bondié envoyer preser ena lumière ki justice triomphé
https://m.facebook.com/story.php?story_fbid=4134408573288801&id=108299339233098&anchor_composer=false&__tn__=%2AW-R,Defimedia,Really? Good then!,0,really good then
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1090309724778386/?anchor_composer=false&refid=18&_ft_=qid.6941467511697455894%3Amf_story_key.1090309724778386%3Atop_level_post_id.1090309724778386%3Atl_objid.1090309724778386%3Acontent_owner_id_new.100053352694039%3Apage_id.867119693764058%3Atext_formatting.1271157196337260%3Asrc.22%3Astory_location.6%3Afilter.GroupStoriesByActivityEntQuery%3Atds_flgs.3%3Aott.AX9DH_pC5x6BzxiU&__tn__=%2AW-R,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Pran to pravind met dan to f... Hehehe,1,pran to pravind met to fesse hehehe
https://m.facebook.com/story.php?story_fbid=4134319749964350&id=108299339233098&anchor_composer=false&__tn__=%2AW-R,Defimedia,Ange Lie oui p vine dir confinement pna sa arete embête dimoune,0,ange lie oui vinn dir confinement pna arete embête dimoune
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1062500227589092/?anchor_composer=false&ref=content_filter,PRENDCOMPTELEPEP,"Zotte la pour fer palab zis comand famme palabez.PM pe fer so travail ,si to capave ale remplace li mo Frere.",0,palab zis comand famme palabez premier ministre travail to capave ale remplace frere
https://m.facebook.com/story.php?story_fbid=10159335762834540&id=100761789539&anchor_composer=false&__tn__=%2AW-R,Lexpress,Rebecca Larose zot vol tout.,0,rebecca larose vol tou
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1092807001195325/?anchor_composer=false&refid=18&_ft_=qid.6940953970983958712%3Amf_story_key.1092807001195325%3Atop_level_post_id.1092807001195325%3Atl_objid.1092807001195325%3Acontent_owner_id_new.100053352694039%3Apage_id.867119693764058%3Atext_formatting.1271157196337260%3Asrc.22%3Astory_location.6%3Afilter.GroupStoriesByActivityEntQuery%3Atds_flgs.3%3Aott.AX8L9cfkmWd6ejcj&__tn__=*W-R,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Chatwa roder boute,0,chatwa roder boute
https://m.facebook.com/story.php?story_fbid=4134741799922145&id=108299339233098&anchor_composer=false&__tn__=%2AW-R,Defimedia,"L'année dernière bien monte tou prix, sa l'année p plaigner.. KARMA! Sorry..",0,liki année dernière byin monte tou pri liki année plaigner karma sorry
https://m.facebook.com/story.php?story_fbid=10159335762834540&id=100761789539&anchor_composer=false&__tn__=%2AW-R,Lexpress,Sa problm delo la encor miser zot pu passer . Rodrig sorry kumarsh fer bassin ramas delo garde... moris dan dife kote delo parski moricien kanton ranze bel bel batiment ek bouss passage delo.,0,problm delo encor miser pu passer rodrig sorry kumarsh bassin ramas delo garde moris dife kote delo parski moricien kanton ranze bel bel batiment bouss passage delo
https://m.facebook.com/story.php?story_fbid=4134319749964350&id=108299339233098&anchor_composer=false&__tn__=%2AW-R,Defimedia,Diana Prosper penan confinement a maurice dutout .,0,diana prosper penan confinement moris dutout
https://m.facebook.com/story.php?story_fbid=4134741799922145&id=108299339233098&anchor_composer=false&__tn__=%2AW-R,Defimedia,Nigel Quirin paconai ena p tire lavie lor prix legume,0,nigel quirin paconai ena tire lavie lor pri legime
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1066958287143286/?anchor_composer=false&refid=18&_ft_=qid.6941503482104563363%3Amf_story_key.1066958287143286%3Atop_level_post_id.1066958287143286%3Atl_objid.1066958287143286%3Acontent_owner_id_new.100027855523395%3Aoriginal_content_id.2714149318805797%3Aoriginal_content_owner_id.100010765571066%3Apage_id.850723902100060%3Asrc.22%3Astory_location.6%3Aattached_story_attachment_style.photo%3Afilter.GroupStoriesByActivityEntQuery%3Atds_flgs.3%3Aott.AX86-5KAiQkhH5MX&__tn__=%2AW-R,PRENDCOMPTELEPEP,"Berenger pou fer li rever....couma prem Nababsingh, Madan Dulloo, Ashok Jugnauth, ....aster attann nando...lerla so tour....lol...! Mais si likit sa la main propre ki appel Berenger ek xaxa..lerla kapav pense lor la..! Afin....tous kapav aspire vinn PM...kifer non...! Meme Mr Malin kapav vinn PM...bizin ki Paul pense lors la..car li pe amenn role la bien..! En tous cas...seki pou marse ek sa boug la ..pou reste tous les temps rever meme...Car la majoriter finn comprend so vrai role....( Fais ce que je dis ....ne fais pas ce que je fais) ...",0,berenger rever kuma prem nababsingh madan dulloo ashok jugnauth aster attann nando lerla tour lol mai likit main propre ki appel berenger xaxa lerla kapav pense lor afin tous kapav aspire vinn premier ministre kifer non mem mr malin kapav vinn premier ministre bizin ki paul pense lors car amenn role byin tous cas seki marse boug reste tous les temps rever mem car majoriter finn comprend vrai role fais ce que je dis ne fais ce que je fais
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1062402077598907/?anchor_composer=false&ref=content_filter&__xts__%5B0%5D=12.AbpdZiXmPEW2QYO7qZxPT2hN65nAvm2m-KZSDSbJt0V2uwd5hetXR4IUx83RRSdKDwxNoujqknsGAiwzndzgthJKh8FKL6vbtPNqGK8Nu9x6wiGnXtNfXq_VLaW6kSxAyo8edGyHwC1IMoh8XzmdmZy6MamxwtYq3Vs3soAoxIw2_4OArFPG3YDtbJdklH56GCCICrFfX9Cxq1pwPAAeSOY7IkaaZTEnaTAG_QxvJOv-vD3s3XB_o6xT7fumvnAI8goCNoFmpjrmqgrJD3CMn74nQ0QIvci0tWlXpCMMay0GdCVu6wteFeYO5jDSVZkFtYUIgZyMG2BxO2FWA_q3Barvj4vWAxE2UIla2kUnzTPdOMWavopE0zAUIdFaZRjOdhY,PRENDCOMPTELEPEP,Jean Alex Agathe oui MO p trv. Lol,0,jean alex agathe oui trv lol
https://m.facebook.com/story.php?story_fbid=10159335762834540&id=100761789539&anchor_composer=false&__tn__=%2AW-R,Lexpress,"Boolaky Akilesh loool. La pluie pas tomber rodrigues? Manque reservoir et dam dans rodrigues, c pas la pluie ki pose probleme.",0,boolaky akilesh loool pluie tomber rodrigues manque reservoir dam rodrigues c pluie ki pose probleme
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1090628274746531/?anchor_composer=false&refid=18&_ft_=qid.6941468383557116233%3Amf_story_key.1090628274746531%3Atop_level_post_id.1090628274746531%3Atl_objid.1090628274746531%3Acontent_owner_id_new.100053352694039%3Apage_id.867119693764058%3Atext_formatting.518596398537417%3Asrc.22%3Astory_location.6%3Afilter.GroupStoriesByActivityEntQuery%3Atds_flgs.3%3Aott.AX_18I7ojUY3uWcc&__tn__=%2AW-R,RadioPlusMauritiusIleMauriceFanGroupUnofficial,"AH BON KUMSA LI MARI FORT KI LI FER SO BANN KAMARADE RENTE DAN MORIS PAS PASS 40ENN ?
ESKI SUDAN TI PASS 40ENN ?
KOMIE GRAN BUSINESSMAN KI PAS FER 40ENN....MARI FORT SA.....",0,ah bon kumsa mari fort ki bann kamarade rente moris pass 40enn eski sudan pass 40enn komie gran businessman ki 40enn mari fort
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1056866194819162/?anchor_composer=false&ref=content_filter&__xts__%5B0%5D=12.Abr03eSsJIuhOBxgSwlNTYnR6_vZKO2QT9k2K09XoTZkplk0w4n0YY2NyNTeG-bVpoQR34u9Cuz2IzwmfWAvpPsSwUTr3NrBfbwPwL3-aojFT3JtChDjqWwYHB31Z1YINTaNPelrpR_fT9HdSALqHRcusCmWatLLZzPnic2EqwH8K1GMHO4L9EjSnBVqXn3hmkXkf_ItFaHqQm7RASEhY7l6xwmafq1SG05gDmNYficgin0qCeMHS-mZLtSPolkoJeeYVSXBrR0Rq6Mq9Mwcu8xbcdGl-0uwHuAR1S7RM7z6VWixFBqg_sPeYWizslZ8KYraujuYXfBB6JzWD2yLemKBWRHAoAS3gDQ0AAgbftuRNJN_f5EH7ipE71Ps20RknWo,PRENDCOMPTELEPEP,Comment Grand Bassin ine vinne lieu sacré? C'est un volcan qui pena narien à faire avec Hindouisme.,1,comment gran bassin ine vinne lieu sacré c est volcan ki pena narien à avek hindouisme
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091978571278168/?anchor_composer=false&refid=18&_ft_=qid.6941468065731622330%3Amf_story_key.1091978571278168%3Atop_level_post_id.1091978571278168%3Atl_objid.1091978571278168%3Acontent_owner_id_new.100060360696812%3Apage_id.867119693764058%3Atext_formatting.146487026137131%3Asrc.22%3Astory_location.6%3Afilter.GroupStoriesByActivityEntQuery%3Atds_flgs.3%3Aott.AX_m_xffl5PgHlBr&__tn__=%2AW-R,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Angie Romina damm why ahahaha,0,angie romina damm why ahahaha
https://m.facebook.com/story.php?story_fbid=10159336076559540&id=100761789539&anchor_composer=false&__tn__=%2AW-R,Lexpress,Zot croire pou narien le 12 mars ti decor sa gros badia la,1,croire narien 12 mars decor gros badia
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091978571278168/?anchor_composer=false&refid=18&_ft_=qid.6941468065731622330%3Amf_story_key.1091978571278168%3Atop_level_post_id.1091978571278168%3Atl_objid.1091978571278168%3Acontent_owner_id_new.100060360696812%3Apage_id.867119693764058%3Atext_formatting.146487026137131%3Asrc.22%3Astory_location.6%3Afilter.GroupStoriesByActivityEntQuery%3Atds_flgs.3%3Aott.AX_m_xffl5PgHlBr&__tn__=%2AW-R,RadioPlusMauritiusIleMauriceFanGroupUnofficial,"Rode kikene dan la cuisine. Ene parmi sa banla... Pravind, Bobby, Jagatpal, Sawmynaden..",0,rode kikene cuisine parmi banla pravind bobby jagatpal sawmynaden
https://m.facebook.com/story.php?story_fbid=10159335762834540&id=100761789539&anchor_composer=false&__tn__=%2AW-R,Lexpress,gouvernema p fat yen tram MEM RODRIGUES PENA DELO KOREK CA POUVI P ARANZE LA PISTE AVION DAN AGALEGA APRES ZOT DIR OU DEVLOPMA TON,1,gouvernema fat yen tram mem rodrigues pena delo korek ca pouvi aranze piste avion agalega apres dir devlopma ton
https://m.facebook.com/story.php?story_fbid=4134741799922145&id=108299339233098&anchor_composer=false&__tn__=%2AW-R,Defimedia,Ou cone Bousou ??,1,cone liki
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1090628274746531/?anchor_composer=false&refid=18&_ft_=qid.6941468383557116233%3Amf_story_key.1090628274746531%3Atop_level_post_id.1090628274746531%3Atl_objid.1090628274746531%3Acontent_owner_id_new.100053352694039%3Apage_id.867119693764058%3Atext_formatting.518596398537417%3Asrc.22%3Astory_location.6%3Afilter.GroupStoriesByActivityEntQuery%3Atds_flgs.3%3Aott.AX_18I7ojUY3uWcc&__tn__=%2AW-R,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Nels Modliar,0,nels modliar
https://m.facebook.com/story.php?story_fbid=10159327255709540&id=100761789539&anchor_composer=false&__tn__=%2AW-R,Lexpress,"Si dimoune ti malade so parent pas ti pou recalcitrant, bane bajas !!!!",1,dimoune malade parent recalcitrant bane bajas
https://m.facebook.com/story.php?story_fbid=10159327255709540&id=100761789539&anchor_composer=false&__tn__=%2AW-R,Lexpress,Davina Bansropun,0,davina bansropun
https://m.facebook.com/story.php?story_fbid=4134408573288801&id=108299339233098&anchor_composer=false&__tn__=%2AW-R,Defimedia,Moi pa p faire confiance vaccin la ditou. Ler moi p get sa bne CLOSE ki ena encore lor la la.. Moi pli pa envi ale faire vaccin. Moi prefere die avec covid ki enleve moi mo bne droit. Deza moi pa faire politicien confiance la mo penC mo ena droit pa envi ale faire,0,mwa confiance vasin ditou ler mwa get bne close ki ena encore lor mwa pli envi ale vasin mwa prefere die avek covid-19 ki enleve mwa bne droit deza mwa politicien confiance penc ena droit envi ale
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1062500227589092/?anchor_composer=false&ref=content_filter,PRENDCOMPTELEPEP,mamou ou ti p dire ki la gazette p crée chikose dans morice et zot p faire marketing pou banne capitaliste concert lockdown mais aster ena lockdown ou pou dire ki pravind oussi complice.Mo respect ou et mo suive ou mais parfois ou trop presser pou faire conclusion ou analyse.,0,mamou dire ki gazette crée chikose morice marketing bann capitaliste concert lockdown mai aster ena lockdown dire ki pravind oussi complice respect suive mai parfois trop presser conclusion analyse
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1042890612883387/?anchor_composer=false&ref=content_filter&__xts__%5B0%5D=12.AbpK7uDBDXHYXGk8gHVj2F-j4sSza7WPibGCiOR6kmKtt_ul3GAI42gr_OENXZiwzfotaNiZ8gb9OVPFI5fAZXNhrlraRW750-Ql7BVtSkmsfR8rX3wpRV9VB1bnnq01iJN2djvckC3uMQ74t510C_9G9WiTZx0h6jHCIf3q6zfVmBIxd20eoFpkaT2vjyMhS7uTo3wZyVlhFc8z-kZvgOS9iA8DqanUFcaOE1Hn6DVK9iH0qk_gsIYiR85X9W6Bl_cSept-1QPM1zLJAcRNOLN8HBp2JshNn-QrVF7l1Da9LQZb5UVFHdf65bFc9c5f1hEvjkjp421KNcQaHI4p4dCGKPm-Ju2Z3gMWg_oC7vXJQZguPpudxPbHi-aCsLrvtQg,PRENDCOMPTELEPEP,Pour moi personnellement nous bzn arête penC ki ena zis pravin navin paul ki kav diriz sa pays la..,0,mwa personnellement nous bzn arête penc ki ena zis pravin navin paul ki kav diriz pays
