,Comments,Labels
13,Lasenn lor Dan li cou p demann compensation... Semenn dernier 1 marsan légume dir ziss vendredi linn fer Rs100 000 la vente. P rod compensation mem?! Roder bout...,0
14,Sandrine Esther 24kara coment zot connais 😂😂😂😂🤦‍♂️,0
15,Sandrine Esther normal p croire lecole ici. Tous moyen bon pou zot gagne plis Kas....,0
16,They are selling vegetable at a higher price and still they looking forward for compensation. That's a shame.,0
17,"Ahmad Khay I agree the majority of these vegetable sellers are taking the population for a ride.Compensation,a big joke, they should send some of their ill earned earnings to the Government",0
18,Len Roos well said 👍👍👍,0
19,"Len Roos I went to buy onions this morning, the vegetable seller told me 25rs lbs. I said what? Do you know the price is fixed at 20rs lbs?Then she said yes take it. They are trying to steal people in watever way they can.",0
20,"Ahmad Khay Sorry to say this,but the poor Mauritian population is mercilessly speculated by the majority of these vegetable sellers.They have no morals and find every excuse to rip the population off.",0
21,Kan Marchand legum p vendre legum extra Cher sa ou pas trouve,0
22,Abou Bujhoo lerla li paye consomateur li,0
23,Ban marchand fruit et legumes p tir la vie et zot ena toupe rod compensation. Petit Pomme orange p vend 2pcs pour rs25 legumes prix exagere,0
24,"How much they contribute?????? To the government. During confinement most of them have got triple compensation.
Au lieu aide ban dimoune zot mette la main Dan's la gorge.
Gramatin ene marchand dire moi rs10 ene banane......",0
25,Pna pou donne zot aukun compensation après ki zot ine mange la vie tout dimoune,0
26,James Le Roi marchad legume p met lamain dan la goz dimoune ki p rodè enkr zamain zt acè zt pour lemoment zt mem ki pe dr case la,0
27,Ase do..zoto fer mine dor r zot prix zot p vane légume la..apres vine rode compensation..,0
28,Marchand legumes???? Ou fer riez chacha.,0
29,Bizin fer 1 lalist ban ONG donne banla..dans plass zot pe zette ban produit la...zot gaigne impe benediction...,0
30,Bon nou le consonmateur nou demandons un compasation au gouvernement pour pouvoir payé les legumes avec des prix exorbitants que nous avons payer.,0
31,Alle gete komier dominer pe fer r ban mizer apre pe rod compensation get prix legume la,0
32,Marchant légumes pas pauvre sa tout sa dominer qui zot faire avec dimoune la ou marchant ou travaille ane journée ou ramasse l'argent 1ans ou pe vine raconte histoires arrêtez faire la gourmandise.ena ou camarade qui vraiment pena nanier pou zot manger plus dominer qui zot pena dans tout légumes ena covid 19 zot ine profiter nous encors pe pay qui chose cher hé marchant aller casiette trop c trop😡🤬,0
33,Pena mot pou decrire sa bougue la😡😡😡,0
34,Zot pane fini tire compensation lor prix légumes pendant confinement ? 🤔,0
35,"Lauren Dacruz bizin pran ene loan avan to al.kot Marchand legumes el fruit aster,ene melon l'eau p vende Rs800😳😳",0
36,"Soobrayen Clavin Rs 1050, moi mone trouvé 1 melon d'eau, Marchand la dire moi li special sa.",0
37,Desiree Aliamben melon D'or sa😀,0
38,Soobrayen Clavin to bien dire,0
39,"Li pe faire riyer , ene comics ça !!!! Non
Li ar so banne collège, zot pas assez tiré la vie augmente prix faire casse lors le dos dimounne dans ene crise pareil !!! Li gagne pou demande l’argent.",0
40,Quand ti p manger la bouche plein personne pa vinn lor réseau sociaux vinn dir nou in fer 1 mari profit la quand zot dan treize zot vinn fer koné en plus to mem ti p la guerre pou tir Marchand ambulants dan Port Louis sa mem ki appelle la roue tourne,0
41,E ou la oun tomb par la tete kisa. Sel dimun Ki p profit sa confinement la p enrichir zot cest bane marchand legumes et fruits. Aster lo sa ou p rod compensation. Juste dir moi cot ou pou met sa.,0
42,Vidyanee Beesony dans so tomb,0
43,Tous marchand legumes p bez cash p ramass dan sac goni p gard embas matlas.ki compensation ou p roder?planter la ki bizn ggner compensation parceki tous depends la se zot ki fer pa marchand.😡😡😡😡😡😷,0
44,Ki li gagner sanla.sa bane marchand la mem ki plus travail bien e p tir la vie dimoun la ki compensation li p roder.bez sa coupied dan f fer aller do,0
45,Lanne derniere zote ti roule Jaguar! Aster pe dimane sarité ou zote pe manque casse pou aster ene Tesla.,0
46,Ou p rode role bonhomme ki sa. Al assizer trankil dans la caze do. Zot in bien trangle dimun depi dernier lockdown. Zot mem ban boss aster. Pan assez tire la vie,0
47,"Ki compensation p deraizoner kissa dza ,zot in fini prends 13eme 14eme mois tous ek nous,arret fr dominer largent mal gagner pas bon ca.",0
48,Linda Antonio mal fini,0
49,compensation la bisin donne zis dimun ki meriter ena ki vraiment dans problem mais pas tous ki demane compensation bisin donner dow grater aler dormi dow mo camarade,0
50,Ena Marchand legumes fine travail 100.000rs Dan 1 jour ou p vine rod compensation,0
51,"Kan pena la foire et alors???? Zot p vende legumes la lors chemin trois fois plis cher. Pas tout, ena marchand xtra foutant kan zot cozer, zot p vende legumes cher mais ene plastic biodegradable zot pas donner, nec jette dans ou sac ek laraz. Bien bzn apprane maniere sa. Un an p fer l'argent lors la tete dimoune, aster p plaigner.",0
52,"Marchand legumes in vin gros palto aster...tou dimoune ki vendre legume p abuser Dan f du sac ...zis p de Terre et onion ki prix fixed lereste zot p fer zot la loi ...carotte Rs 45 ..500gm jiromon Rs 35 ..500gm etc etc..
Aster p rod compensation...less 1 dimoune pauvre ki meriter ggn sa dow ...detoutfason Rs 5100 pas asser mm sa ...",0
53,Bientôt importateur masques pu dman compensation acoz confinement la... gagne un peu desence envers population la boss... aret sa manière manze banane dan 2 boutes la!,0
54,To cone zis pou marchan toi mes kan ban la p monte prix p fer Dominer et ti dimoun cot to ete ler la toi derier to contoir 😡,0
55,MARKET SHOULD OPEN UNDER STRICT SANITARY CONDITIONS WITH ONLY 50 %CAPACITY WITH POLICE AND SMF SUPERVISION,0
56,CES produits ont été périmés? Mais pourquoi ne pas les avoir distribués à TOUS LES pauvres gens qui meurent de faim?? WOW je rêve là!,0
57,Ou manque ene boulon dans ou cerveau ..les autres commercant coyon zot .lorla prix legumes p prend l assenceire,0
58,Bizin donne ene compensation général tout dimounes ti pou fini ene fois pour tous avec sa zafer lot vine dire donne moi ene lot vine dire bizin donne moi allé même cm sa abé ki sanla ki bane dimounes bane ki p travail ki pou zots bizin pas donné ??,0
59,"Zot deza p pren zot compensation lor prix legimes..
Ferme impe ou endan!",0
60,Seriously??? La plupart p pez la gorge avec ene flambée des prix zot p demande compensation???,0
61,"Raj Appadu laem wadir ene brede songe toufE , Ya Aaz si pena tamarin cpv met appadu em dan’s salade 😬🤭",0
62,Ya Aaz non li deja wadir fruit sec kt aziim bhai la 🤣,0
63,Wazil Wsb 1 crystalisE alors 😬,0
64,Ya Aaz ahaaan guru 😂🤣 liem line crystaliser 😂 dan’s place p rod compensations plitot li demande ene vitrine 😬,0
65,Noor Kurreembokus wslm t cne li sa boug la?😬,0
66,Moi mo 1 planter... Jamais mo fin abuser lor prix... Mem mo perdent pour vi ki li pas jeter... De fois mo donne cadeau.... Enah si pas pey zotte.... Kuma dir zot pas pu kapav vivre,0
67,Rishiraj Dugroo .. zot prix pas meme afficher... zot guet to loto zot met prix.. surtout ca bane marchand fruits la,0
68,Subir Huldarowa sa nu koner crime zotte fr,0
69,Ahahahaha fr ggn riere seulment sa kalite ena marsan p augment prix la la ausi bi1 donne zt enkr kass boss on dir amuser pas abizer,0
70,Valeur du jours kan ou alle astè legumes et fruits ou p bizin paye par carte !!!,0
71,Kaleem WMahomed vreee byyennn serrrrr,0
72,Ban consomater osi p deman ene dedomazement ek tt ban Marsan legumes et fruits ki ti fer dominer confinement l'annee passer ek ki p continuer fer dominer sa l'annee la osi,0
73,Sa PRIX ki p zot p vende la. Mo kroir ou p bat den la tete.,0
74,Dapre lord zot in plein r zot BMW ek Mercedes zot envi roul lamborgini ubien ferari aster,0
75,Dne sa boug la ene award dn koz nimport,0
76,B sa bane vice zot ti faire r ti dimoune la .. kasse la koter?,0
77,Joy D. Ajoodha kass mal ggn mal fini ni capital si pa p truv aster pena barakat.,0
78,Yaasir Bhatoo so true,0
79,Compensation la pou tro tigit comparer a profit zot fer lor latet dimoun kan zot vend legumes etc... bon et mauvais temps prix la augmenter mem..,0
80,La chained lor dans li cou ek mo cash mamoo ou p rode compensation trap ghanta,0
81,Lameme zot p tir lavie avec prix.ki compensation?,0
82,"Ou le tend zourer Mr? Marsan legume pe vend pomme damour Rs 100 laliv ek pe tir lavi. sa kantiter zot p met lamain dn lagorge la, pe pren lavantaz lockdown pou fer million la. zot oule compensation??",0
83,Des fois dans bisness d fois ena ganieé et perdi mo penseé sinon tout magasin tout la boutique tout tabagie bizin rode compensation .,0
84,"LannE paC kan zot ti fer legume met costume cravat.... Consomateur pa ti ggn oken compensation lerla.... Zot ti penC sak kou, tou kou, mem kou..... 😂 😂 😂 😂",0
85,Ministre gobin bizin dier population lanne dernier apre lodck donw ti don largent cashban plateur coument zodier dimoun pomme damoun 8o rupee tou legume laote 25 rupee faire lenket cone kote sa ban cash in alle 2 zafer pe vendre pomme deteur pe pouce zotte achete 2o tonne pou fer cash obliger fer leket,0
86,Ki compensation ou p rodé? Trouve ene fason pu innové ena buku moyen utilise sa ban légumes ek fruits la,0
87,Marchand legume p fer dominer dan ban lendroit aster p rod compensation ale dormi dow soi ale rod bouss ou,0
88,Ou Pou touffe ar largent mamou.kan mort quitte lamem sa couyade la,0
89,Finalment gov la bizin paye pu tou bizness zot fr ban ki pa trav trap ghanta mem... Kan marchand legume fr kas lor latet malheureux lerla zot pa kozer kuma zafr la baisser bizin compenser... Sa v dir tou kou zot bizin gagnant mem zot... Srry mai avk confinement dernier boku lexemple ine ggner saken vey so arriere aster... Ou bizin apran tomber si koz buku dmoun p apran vive en bas dechelle aster...,0
90,"Zot p dza van legume,kuma dir in met ti mimi,cravate,costume,mark kaizer,guess,bilabong,body n soul,woolworth,,,,,,,,.
Aster to p rode conpensation.
C akoze zot mem in ggne maledition,espece Vorase",0
91,Pas Marchand legumes Ena aussi ban Marchand poisson ban pecher,0
92,La ou p pis lor violon pou tir son la boss,0
93,Boss pa dire do marchand legumes p rode compensation boss pa dire do pa dire do marchand legume avan al drmi p dire kan pu gramatein nu lepep kan p al prnd legume sa kan bat conte coumsa mo boss merci gard ou legume mo ava al poule la viand poisson,0
94,Ena comerce p reste fermer tou le jour pa p gagn ene ferfoute san la akoz 1 jour li pane travail li p rod compensation.bouss f aller do,0
95,Raj appadu li ena Gro contra avec grand l’hôtel sa,0
96,Ki compensation ou lé chacha? Ene voucher kot Leal Co Ltd pu ban BMW serie 8 la,0
97,Heeyyy mone fek aste demie liv lalo 35 rs.......la.....ki to p rode....,0
98,"Jameel Assenjee
Lalo so prix mm sa
Tultmp li res cher",0
99,Yasine Maudar ena lepok li korek......,0
100,Yasine Maudar cot mw 1bs40rs,0
101,"KaV larmE tne bat dn latet?
Akz corona t p pense morT prix? Bne planter p trvy zt part..

T pa p pense bne ti dimune ki pna legume dn zt lkz 1 tight",0
102,Marchands faire gros cass. Planteur gagn ti profit. Dans place aide ban planteur zot p rod aide ban marchand...,0
103,Ti ena mm 1 marchand ki ti fr 100mille la vente,0
104,compensation pour marchand legumes? 🤔,0
105,"L'année passé tout marchands légumes ti dans showroom cot Lile ou ban Bijouterie ti defoncer ar zot même.
Zot voyage dans BMW et ledant lav cot bizoutier!
Nous ti commerçants pe bisin voyage dans taxi train et lave ledant ar colgate.
-Raj to conner kayver, to nepli dou, to Appasalé 🤦‍♂️",0
106,"Nou dacord avec ou grand dimoune
Cost of production augmenter
Fertilisants , semences",0
107,Li p reV zot p fer vise r nu couma lan dernier chiuchou ena p vane 70 unité aster zot roD kass enkor,0
108,"Trop gourmand, alors on vends moins, et à la fin on perd......",0
109,P rod gagne like dan sa moment covid la mamou ou lespri p block si lage p monte mamou les zeness pren relev dow puff,0
110,cash pe manqué pou pose marbre dans lacaze ki ti arranger dernier confinement,0
111,Zot deja pe tire la vie dimoune. Aster zot pe rode compensation. WTF. Si mo marque ene rupee zot tire ene legume dan basket la. Phfffffff,0
112,Zot pan assez boir dusang client???,0
113,"Zot pé faire fortune lors la tête planters, vaut-rien",0
114,Kine arriver lor ine d’évaluer par rapport à la roupie?,0
115,Boss???? Compensation? Mo fek paye 1 banane Rs7 semaine dernière. Pas p cose zonion ek lot legume mais 1 banane rs7 mo frere sa aussi dans l’ile Maurice. B pour bane client ki bizin ena?,0
116,"ou chiffres d`affaires combien ? combien ou contribuer a l`etat ? ou enregistrer???dans lockdown , combien ou recettes ??",0
117,"Kan zot tir la vie r prix et fair gros profits zot pas dir

Ein gouvernement orne ncor unpeu cash",0
118,E Pagla mamou qui in arrive ou pe Mark travail ek coze pou coze. Taler kan pou ale aste legumes besoin pass par CIM la .qui compensation pe vin rode,0
119,Ey ou la..deja ou p vine millionaire..sa coup la ou p envie vine milliardairr,0
120,Le Nicolas De Racoute c un canular je suppose?,0
121,Gary Ramasawmy 🤷‍♂️🤷‍♂️🤷‍♂️.,0
122,1 kgs longan pe vande 600 rupees ki sorti moriss ki 1 kgs raisin ki vine par avion ou bato pe vande 150 rupee,0
123,Bientot bnla pu roule bmw i8 mocroire si confinemnt prolonge zot pu fini aste private jet sa ban marchand legumes la compensation to le move inbesil,0
124,B Marchand Bazar so legume pe gate pe gete li bisin Gagne n compensation 2 smen pa travay. Planter ki p rempli bal Kas pe garder,0
125,Chaque pays aide quand il y a une crise comprend pas aucune aide ni gouvernement diminuer leur salaire de roi de l'île .,0
126,Es ki ou pou demande compensation pour consommateurs aussi?,0
127,"Compensation to pas honter demande sa , es ki to zot ena pitié pu nu kan nu vine acheter légume non zot mort pu l’argent . Prix légume la doubler tripler . Confinement la pas p kapav mange légume couma bizin tellment prix la cher .",0
128,Umel Da bizin dir li ek so bane marchand légumes bousse impé zot kiwi bane PIGEONS LA.... zot p tire lavi maleré...,0
129,Ricardo Hovas oui extra âpre p rode compensation sorry mo envie dir li d bêtise légume pas p gagner et si ena aussi li cher pas p fouti acheter aster li net p rode ar l’argent Nerport la,0
130,Tah hey deza ki zot in mari monte prix astere pou donne compensation tout ???? Tone fou kisa,0
131,Eski toi to pu met prix avant lockdown ou bien tou marchands pu mont prix?,0
132,Moi aussi mo bzn n compensation mone fr progress mne reussi rest dns lakaz pa sorti pendant n semain 🤣Aurelie Shaina,0
133,Dem Nick ehta non,0
134,Dem Nick samem tou🤣🤣🤣🤣,0
135,Banks pe bez cash lor later maker toi toper done zot ene compensation oune tom par latet,0
136,Chacha oune deja mange 1 bon patol papa? 🤔,0
137,"Bien tir lavie ti dimune, aster p rod compensation. Lol..rest atan mem..",0
138,Zot p nek zis tir la vie..lor la p rod compensation...ou pa honté ein,0
139,"Au Contraire Marchand Legume ki pou bisin donne nous un Compensation 🤣🤣🤣
Its the Best Joke of Lockdown",0
140,Ale mange ene kiwi do ta 😂,0
141,Kincompensation to p roder zore gagne subside et gagne loan lor ti interet apres meme kan ena lapli soleil ou meme carem zote monte prix bizin fixer tou prix legume et fruit Coumsa zore ava aret fer dominer,0
142,euta alle jet to lecorps dan bassin poisson. Deja tou marchant p met bane prix kot pas cozer...plistot gobe lair ousa pas manger...pas fr dominair r malerer.. sorry mais ou p exagerer la..ena dimoun dan plis lapein ki ou..,0
143,Hs Rad Dshini bien dir sa Dal,0
144,Ou fou ou swa ou la tet pas bon boss,0
145,Zot p travaille normal zot ek enplus p tir lavi dimune... ki compensation.. pa exagérer,0
146,Svp ton pa vine gate valeur planteurs et marchands legumes !!!!!,0
147,"Compensation ?
Pan aC met lamain dns lagoz bn tii maléré ?",0
148,"Boss,mo kapav met *lol* lor sa lartik la ?",0
149,Burrut Deepak lais li mo met li pou tw bhai .... lol,0
150,Alle dodo missier ou croire argent tombe du ciel.,0
151,Latet pa bon aret vin kuyon dimun dow..,0
152,Vanesh Yaar terrible sa,0
153,Sarjit Kaur Singh bku duk,0
154,Vanesh Yaar li mm en roder boute sa man saki p dir sa la,0
155,Kot zot gagne sa kaliter toupet la?,0
156,Mo pena narnier contre sa bane marchand fruits et legumes...mais kan to bane prix ti p casse records to pas ti konne ti dimoune lerla...sa ki bizin aider c banne planteur la...lorla la nuite li jours zotte dans karo lorla p gagne vol...et kan to prend to legumes r zotte to aster sa peanuts et twa to vendre sa couma l'or...bizin reglementer sa banne zafer la...,0
157,Pakeeroo Selva well said👍,0
158,Mo pa p truve sa moi kot mo passe marchant legume e fruit p travail bien a moin ou p atan ki government don ou tu dan ou la main,0
159,AreT boir du sang client 2sousou Rs145kg 🙄🙄🙄,0
160,🙄🙄🙄🙄 poche la pa p assez rempli,0
161,Marchand legumes p bien faire dominere en tout les cas dans ene moment parey. Sakene p met prix li envie. Zot p van boukou pli cher. La li pas bon. Zot p profite la situation.,0
162,Compensation pu aster zot porche and BMW apre pu ale glacer dan bagatelle😝😝,0
163,"Kan zot p van legumes a prix d'or zot pas dire comier profit zot fer lerla. Quand p gagner a gogo kone ramasser non 3/4marchand o jouer le course pa gagne tracas to p bizin legumes to atan devan zot letal zot pli interesser avec lecourse. Pas vine raconte zistwars.la confinement ena bcp qui pli meriter ki zot... Si zot ti koner ldgumes ti pou gater ti bisin donne donTions. Chak fete shivratree, doorga puja, cavadee, ganesh chaturthi zot monte prix legumes. Aster ale relax trankil!!!",0
164,tchioo mari touP sa 🤔,0
165,"Oh la bonne blague 🤣🤣🤣🤣
Les prix exorbitants pratiqués actuellement ne vs suffisent pas???",0
166,"Praveen Pou Donne 50,000 par Planteur ale demander envoy to application",0
167,Ou p badiné la !!! Sa quantité p met la main dan la gorge la pa assez,0
168,"P prend nissa li?????😅😅😅
Kan confinement fini.....zot meme pou marche dans mall ek costume cravate pou ale fer shopping la......ek sa kantiter tire lavie zot p fer la......ki compensation my friend!!!!🤣🤣🤣😂😂😂😂",0
169,Ou p abizer chacha,0
170,"Fini souce disan citoiyain mauricien aster p all boir disan gouvernement ,gouvernement ti bizain done zot ene pied banane dir zot all planter",0
171,To pou gagn 1 ticket pou election avc boodhain...to mari bon dqn rod role,0
172,Ena dimun pena rien pu manger pa p kpv afford légume mmm,0
173,Ro Han ti p dire gouvernement bIzin donne li 10k non? 🤔 Ritish Haman 😜🤣,0
174,Ro Han Ou kone boussou ???? 😏😏😏,0
175,"Avi Soopaul b normal.
kuma suoermarché, superette , la boutik p kave operer et bazar ( pas la foire) pas kave ouvert as same hygiene protocol as the supermarkets and all ?",0
176,Ro Han lezot marchand honete mais Acoz bane marchand couma toi vend 1 🍉 rs800 zot tou p paye lepo caC Ritish Haman,0
177,Avi Soopaul heurrsement mo pas vane melon deau 🤘,0
178,"Moi osi mo p rod ene compensation pou bane commerçants ki ena magasin. Ki ena ene ta fret pou payer. Location etc....
Government in blié nous dans zot budget",0
179,Encore compensation.. Et pour bann ki aster avek zot.. Paye plus Cher.. Zot Gagne d cote.. Cool.. Courage,0
180,"Compensation pu ban dimun ki pas p kpv travail, pas pu ban dimun ki p vend so fruits et légumes cher, p tir la vie dimun",0
181,Cet article devrait être dans la rubrique INSOLITE,0
182,1 marchand legumes dans 1 jour in travail 100k. Lol,0
183,"Mamou consomateur 1 maillot pa p kapav astè ,legumes sitant chere",0
184,En ce moment zot mem pli fort la...bane marchand legumes pe vend deux plis ki avant et le peuple pe paye..la auci pe rod compensation...un peu de trop la svp...,0
185,Sa l'âge la ou encore croire dan bolom Noël 🤣🤣🤣,0
186,Quand prix fruits monter pou banne raison banale....et surtout en decembre....lerla ou pas gagne tracas consomateurs????,0
187,Done compensation ban planteur avant,0
188,"Boss oune perdi latet?? Marchand p fr profit plis ki bizin lor nu latet, ou p koz compensation??? Pom 2 terre kot ti fixer rs20, zot ti p vend rs35. Brinjal zot asT rs5 zot ven2 rs25. Carrot asT rs20 rs25, zot p vend rs60. Mental truv dan beau bassin sa. Oune rate l'address",0
189,Zot p deja p travail ki compensation zot p roder? Ena dimoune pa p mem kav ouvert zot commerce e ena pa p ggn wap pu kav ale wrk selment zot pa p plaingner. Et zot ki p travail p gnn toupper pu ask compensation. Ou soif 2 coter. Ou p dja ggn kas citizins et la p rod kas r government kel honte d soif dargent.,0
190,Sa prix zot p vend legume et fruit LA to p rod compensation. To fou ki,0
191,Ala 1 lautre. Li PA CONER planter li transpire pou Faire tout dimounes Manger. Zottes PA assise gagn casse. Lamonai cado non travail gagn casse.,0
192,"Prix légume bzin fixe comme pomme d’amour- calebasse- Le Chou- bringelle- choux chou- pima- lettuce etc..
me ministre la li p croir p dir li allé fixé prix lor du the- persi.. Li ena trop beaucoup responsabilité sa meme li p trouve sa ene fardeau pu faire..",0
193,To latete pa bon toi marchan legume pe met costume cravate la,0
194,Compensation just fin faire Pu banne parese. Planter fix deposit you le temps.,0
195,Mo penser legumes bien bon marcher la,0
196,Avoye moi to conte labank mo pou gagne 2550 avec Gov mo verse kas la pou toi ETA li miser do,0
197,5100 rs pa suffisant .pou bannes section touristes ..ki pas p travail depuis 1 ans ...tou economie ine fini et nous stock marchandise ine demoder ...,0
198,"Mo habitier ale toilette zis dans travail moi mais la pas capave ale travail et pena wap,ou p suive la missier. Hmmmmm",0
199,Pomme d'amour 80rs lbs...li choux 80rs p rode compensation......bisin p....ek zot,0
200,Eyyy oula ki compensation..fruits p venD kumdr m bzn prn n load pu m gn n pomme!!!!,0
201,Ashsish Jhurry keep calm bro calmos weiii,0
202,Mo croir to pa moricien si to get 1 lechou 1 melondeau comie to ti pou dir bzn fer zot peye double tax,0
203,"Ena bezzer la....compensation....
Dza zot p tire lavie..foutouu...
Le pays va mal...
Kass pu srti dpi nou poche mm la ..😑😑😑",0
204,Zot plis ki fou ca banne la,0
205,Eoula pagla kissa,0
206,Nigel Quirin paconai ena p tire lavie lor prix legume,0
207,Sarah-jane Lavictoire Beesoon moV kalité est zot p rod compensation éna bézé la,0
208,Eta ale cachiet dow ta sa ti malheureux jardinier la li bezoin reste sans manger li,0
209,Kitfois kan li p dmann sa pou bann marchand li pou gagne so part,0
210,Assez..biento pou nomme zot comme milliardaire la,0
211,Pat Ty 1 melondo Rs800.🤣🤣,0
212,Jf Roussety sa mo p dir bane futur bill gate🤣🤣haya ya manze so moulondon limem😅,0
213,Ferme unpeu ou tonquin,0
214,Bouss ou Luke. Zoutou pe souffert Mai bizin accepter,0
215,Eta arret menti to fek dan lanniversaire sa semaine monn voir toi jumbo etoi la.,0
216,"Covid lock down mo ti paye Rs 100 ene live bringelle... I
Will never forget in my life. 50 Rs ene live pomme de trrrre.. MRA. Bizin occupe zote ene ti gitte....",0
217,Raju to p rod role dn jurnal...kumadire zot pa p assez tire lavie population,0
218,Ki compensation zot bizin ban vampire..zone bien fer dominer r consomateur..sa mm apel karma sa,0
219,"Qui compensation fr kouma tout dimoune apply pu mra qui compensation p rode tout p ggn 2500 combien to p rode toi 30,000",0
220,"Juste planteur movais egoiste banne les autres marchand gateau, taileur marchand ambulant etc.pou zot innodation cyclone la sechresse zot gagne compensation pas assez",0
221,"Dan's bon lepok Ou ti fer pou pouss tous Marchant ambulant, malecdiction trape ene sel kout ou ava demande sariter devant publique",0
222,"Arrete profiter
Zotte pe vendre pommel damour 125 rupee margoes 100 rupee Chou Chou 75
Ki compensation zotte pe roder",0
223,Man réveil toi kave bat dan latet,0
224,3 banane 25rps hier mne aste bondie p guet zot 😅,0
225,Si li n 'ami d'enfance' li p gagner c sure. 😜,0
226,Shakti Boyragee kisisaaa 😂,0
227,To pu ggné bien bien zot p fer dominer r ti dimoune lor laa p rode encore to pu trapé bazoukaaa,0
228,Pran to carnet LA Bank Don zot,0
229,to kone boussou ??,0
230,Best jokes awards 2021 goes to you,0
231,"Zot deja met tax lor tout legumes
Le choux 350 rs .Zot ki bizin declare zot la vente",0
232,Hahaha kan zot in bien fer dominer kot to ti ete lerla li bon pu zot aster,0
233,dans maurice ki ena fou,0
234,Manchand legume pe deza bez cash ar bane client ki conpensation p rode dan st pierre sak 25 mtre ena enn marchand,0
235,Banla si bizin compensation???🤔 Zt mem zt prE pu dne dimune loan tou la 😏😂,0
236,Ki sa prix zot bane légume,0
237,ena ene tat marchands zot ena zot travail zot fair sa partime qui arriver la,0
238,Dapres lordre cousin Boussou ca,0
239,"Marchand legumes pa pé vinn rode la vie zott,appell sa tire la vie avent confinement tous legumes prix ti normal aster coumadire cyclone class 5 finn pasé,l'argent contribiab la mem ki ou pé rodé",0
240,2 pomme d'amour 40 roupie qui compensation ou p roder,0
241,Hey rod lamour propre avant ek humanity avant ou demand compensation gopai,0
242,Ena marchand legumes lors belle rose pas tout mo p dire la si zourer ti fer mort zotte pas ti pou la sa confinment la 😡😡😡,0
243,Apres tout sa profit p fer la...en plus p rod compensation encore,0
244,Boss's don toi award sa,0
245,"Asse fair riye boss.
Banla mem ki p tap plain la.",0
246,Bne manchands légume p vne légume cher apré p vne rde compensation met seryé dow,0
247,Com dit dimoun longtemps :n'a Pena disang dimoun sa,0
248,Pou tout dimoune ti meme jour!?,0
249,Tor pa ki pou paye sa!!,0
250,Bizin sonn planter prorite,0
251,Enta dimoune dan tout coin larue pe vine marchand legumes alor bisin donne zot tout compensation.,0
252,"Dernier confinement 2020 pa ti pe rode tousala!!!!
Sane fois la lepep in vine malin",0
253,Marchand legumes pe bien travail zotte,0
254,Zot mem ki pli dan bien la . P tir lavie dimun,0
255,Combien cheveux ou poils to bizin nou pou faire la marche ar bruno la,0
256,Paglagal hawa ka don mamou,0
257,1 pomme 15 ropi dan supermarche lolll cot sorti sa Prix la sa v dire sa ki mo p comprant jist dimon rich ki pou kapav aster zot friut !!! 1 chouchou 30 a 40 ropi !!,0
258,o contraire ..bizin paye n p tax en plis...zot p bez kass,0
259,La pluie tomber pas tomber zot bisin bez casse meme zot. faire sacrifice couma tt dimoune do,0
260,Bizin done zot parski zot p work from home.,0
261,Yoven Pillay 😂😂😂,0
262,"To fou???
P vend legume et fruit prix l'or.
Dimoune pa pu acheter mem et li bez pourri.",0
263,Zt p travy en ce momen non?ALOR KI COMPENSATION P RODÉ l,0
